condition,rank,feature,elastic_net_coefficient
inner_ring_physical3mm,5,inner_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.012340729590463565
inner_ring_physical3mm,6,inner_ring__wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,-0.010108570788805595
inner_ring_physical3mm,7,inner_ring__wavelet-HLL_gldm_DependenceNonUniformity,0.010078552141813852
inner_ring_physical3mm,8,inner_ring__wavelet-LHH_glcm_Idn,0.009823888101296323
inner_ring_physical3mm,9,inner_ring__wavelet-HHH_firstorder_Energy,0.008751545351170096
inner_ring_physical3mm,10,inner_ring__wavelet-HHH_firstorder_TotalEnergy,0.006931518964326163
inner_core_physical3mm,1,inner_core__wavelet-HHH_firstorder_Energy,0.020551564309716094
inner_core_physical3mm,2,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02042226835278968
inner_core_physical3mm,3,inner_core__wavelet-HHL_firstorder_Energy,0.018521945252342846
inner_core_physical3mm,4,inner_core__wavelet-HLH_firstorder_Energy,0.01807832037251485
inner_core_physical3mm,5,inner_core__wavelet-HHH_firstorder_TotalEnergy,0.017602917775943278
inner_core_physical3mm,6,inner_core__wavelet-HHL_firstorder_TotalEnergy,0.015741146011498633
inner_core_physical3mm,7,inner_core__wavelet-HHH_glszm_SmallAreaEmphasis,-0.015516995566257361
inner_core_physical3mm,8,inner_core__wavelet-HLH_firstorder_TotalEnergy,0.014804813470127865
inner_core_physical3mm,9,inner_core__wavelet-LHL_glcm_JointAverage,0.014164044226705152
inner_core_physical3mm,10,inner_core__wavelet-LHL_glcm_SumAverage,0.014122139180711516
outer_ring_physical3mm,1,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,-0.05415760936696145
outer_ring_physical3mm,2,outer_ring__wavelet-HLH_firstorder_Median,0.03608590560344308
outer_ring_physical3mm,3,outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.035666980899240065
outer_ring_physical3mm,4,outer_ring__wavelet-HLH_firstorder_Energy,0.02766272379015133
outer_ring_physical3mm,5,outer_ring__wavelet-HHL_glcm_Imc2,-0.02653461322119976
outer_ring_physical3mm,6,outer_ring__original_firstorder_Minimum,0.026260760420617337
outer_ring_physical3mm,7,outer_ring__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,-0.025348921487769453
outer_ring_physical3mm,8,outer_ring__wavelet-LHH_glcm_Idn,0.02452466817979856
outer_ring_physical3mm,9,outer_ring__wavelet-HLH_firstorder_Maximum,0.02336746645081553
outer_ring_physical3mm,10,outer_ring__wavelet-LHL_gldm_DependenceVariance,0.023172576966407392
inner_ring_physical5mm,1,inner_ring__wavelet-HLH_firstorder_Energy,0.016614500948510365
inner_ring_physical5mm,2,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.014822269602180109
inner_ring_physical5mm,3,inner_ring__wavelet-HLH_firstorder_TotalEnergy,0.014284823902368843
inner_ring_physical5mm,4,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.013037222001868529
inner_ring_physical5mm,5,inner_ring__wavelet-LHL_firstorder_Skewness,-0.012275753566553738
inner_ring_physical5mm,6,inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity,0.011164815673243424
inner_ring_physical5mm,7,inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity,0.010631405807672741
inner_ring_physical5mm,8,inner_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.009862888002067846
inner_ring_physical5mm,9,inner_ring__wavelet-HLL_gldm_DependenceNonUniformity,0.008334927640792376
inner_ring_physical5mm,10,inner_ring__wavelet-LHL_glcm_MCC,0.007684232654088957
inner_core_physical5mm,1,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02773395834677683
inner_core_physical5mm,2,inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.027563642035188428
inner_core_physical5mm,3,inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity,0.022042569150983304
inner_core_physical5mm,4,inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity,0.01261420445745065
inner_core_physical5mm,5,inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.008524503269563981
inner_core_physical5mm,6,inner_core__wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.004992711976692418
inner_core_physical5mm,7,inner_core__wavelet-HHH_firstorder_Energy,0.00401268214315341
inner_core_physical5mm,8,inner_core__original_shape_Maximum2DDiameterSlice,0.0009476314220840051
outer_ring_physical5mm,1,outer_ring__wavelet-LHH_glcm_Idmn,0.0337365836277247
outer_ring_physical5mm,2,outer_ring__wavelet-LHH_glcm_Idn,0.03109447261639219
outer_ring_physical5mm,3,outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.01519092088908719
outer_ring_physical5mm,4,outer_ring__wavelet-LHH_firstorder_Maximum,0.011824578274540658
outer_ring_physical5mm,5,outer_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.00970217293934004
outer_ring_physical5mm,6,outer_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.0087198933135791
outer_ring_physical5mm,7,outer_ring__wavelet-HHH_firstorder_Energy,0.008692864762017865
outer_ring_physical5mm,8,outer_ring__wavelet-HLH_firstorder_Energy,0.008411531193309356
outer_ring_physical5mm,9,outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity,0.008270130006766534
outer_ring_physical5mm,10,outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity,0.007608927828456236
